year,scenario,isp_scenario,h2_fraction,total_gas_mwh,total_h2_mwh,electrolyser_mw,new_electrolyser_mw,h2_storage_mwh,new_h2_storage_mwh,ely_wacc_new,emissions_saved_tCO2,emissions_tCO2,annual_system_cost,electrolyser_cf,electrolyser_realised_price,avg_wholesale_price_sa_n,flexibility_premium,eaf_total_mwh,eaf_realised_price,eaf_flexibility_premium,lcoh_per_kg,lcos_per_t_steel,lcoh_lp_per_kg,lcos_lp_per_t_steel,ely_tranche_annuity,h2_store_tranche_annuity,capex_per_kw,gas_price,carbon_price,discount_rate,subregion,solve_seconds
2028,Policy-stated + gas flat,step_change,0.0,4800000.000000001,0.0,-0.0,0.0,-0.0,0.0,0.13,-1.1641532182693481e-10,896000.0000000001,631300074.2869687,0.0,,66.70598275798692,,960000.0,65.60268238229801,1.103300375688903,,251.34157388586857,,251.34157388586857,0.0,0.0,1800.0,12.0,51.6,0.13,CSA,649.7
2030,Policy-stated + gas flat,step_change,0.7170237047685589,959762.0836025509,2431907.4653170127,398.29018679325947,398.29018679325947,155.48660715735093,155.48660715735093,0.13,716844.4110608571,179155.58893914282,888625720.1886358,0.9957384865235089,78.02156848098967,78.23336318094506,0.2117946999553908,960000.0,72.92484612404519,5.308517056899873,5.431574804694672,486.5176765282378,5.430947238071266,486.4503903266044,81645288.46447244,424248.09222437814,1440.0,12.0,63.0,0.13,CSA,301.7
2033,Policy-stated + gas flat,step_change,0.7285714830313481,916266.2142482835,2459452.094502989,434.0839771539447,35.79379036068525,315.13170946299823,159.6451023056473,0.09,724963.6400069871,171036.3599930129,1136946648.0697815,0.9239797771040736,83.70195232009961,85.4637611311459,1.7618088110462935,960000.0,74.20506861381956,11.258692517326338,5.762445926536139,518.9273121204795,5.567605936704248,497.8282297491306,85958480.3817887,749305.4778122131,1100.0,12.0,80.1,0.09,CSA,491.6
2037,Policy-stated + gas flat,step_change,0.7957122434266294,671262.631724098,2614605.513208081,690.4529647748403,256.3689876208956,5113.293561749107,4798.161852286108,0.09,770697.6420781683,125302.35792183162,1307181356.7726762,0.6175468739334639,70.03655543049005,84.8384594564728,14.80190402598275,960000.0,75.77801758625968,9.060441870213126,6.210298233241412,523.7772266695631,5.960755601224657,495.2480865552819,109830151.44279155,10518962.829062095,850.0,12.0,102.9,0.09,CSA,331.9
2040,Policy-stated + gas flat,step_change,0.8532087099000477,471587.7734066134,2741053.6107347943,690.4529647748403,0.0,6481.343815058525,1368.0502533094186,0.09,807970.2822974322,88029.71770256782,659156507.1986308,0.6474128047394627,55.39175412132542,70.67823676007902,15.286482638753597,960000.0,65.86189244131972,4.816344318759292,3.8407699325503284,457.2395971020799,3.542057370743048,421.6195174456051,109830151.44279155,13304484.16527038,700.0,12.0,120.0,0.09,CSA,496.6
2028,CBAM-binding + gas rising,step_change,0.0,4800000.0,0.0,-0.0,0.0,-0.0,0.0,0.13,1.1641532182693481e-10,895999.9999999999,691306474.2870227,0.0,,66.70594581958154,,960000.0,65.602682382298,1.1032634372835446,,267.2455738858685,,267.2455738858685,0.0,0.0,1800.0,14.0,80.0,0.13,CSA,626.1
2030,CBAM-binding + gas rising,step_change,0.7171399868239107,959322.0468530224,2432186.1273893863,398.79048891241996,398.79048891241996,155.55340195159678,155.55340195159678,0.13,716926.5512541025,179073.4487458975,902160739.4907736,0.9946032383797492,77.9903026693383,78.23104119003003,0.2407385206917212,960000.0,72.92464838396643,5.306392806063599,5.432091335511971,490.66481086067364,5.4314635627745105,490.5974957538626,81747845.12339272,424430.3430596584,1440.0,14.0,100.0,0.13,CSA,296.5
2033,CBAM-binding + gas rising,step_change,0.7743320652825071,747853.6931191761,2566102.6917584194,580.3903936124491,181.59990470002913,1309.4793742765185,1153.9259723249218,0.09,756400.6439510871,139599.35604891286,1150926979.7709513,0.7210272367816436,78.67239753375931,85.88514544285772,7.212747909098411,960000.0000000001,74.2061696606572,11.678975782200524,5.819013650840807,532.476988334665,5.631128710163397,511.35145850065874,103630837.48728311,2773967.8754276093,1100.0,14.0,130.0,0.09,CSA,551.3
2037,CBAM-binding + gas rising,step_change,0.8079366556075585,628051.2119301304,2641970.0090210065,720.3128850213357,139.92249140888657,5057.451267556943,3747.9718932804244,0.09,778763.7737730424,117236.22622695766,1320019266.432509,0.5981423512710424,69.48484470212138,84.81727891859553,15.332434216474155,960000.0,75.79227825617501,9.025000662420524,6.2393710013110715,532.9328660320234,5.970198950563766,501.87300467475427,116659650.83926396,10405307.185505064,850.0,14.0,170.0,0.09,CSA,335.3
2040,CBAM-binding + gas rising,step_change,0.8727595477526101,405703.5964556759,2782776.083472514,720.3128850213357,0.0,5954.472377101343,897.0211095444001,0.09,820268.6619949405,75731.3380050595,670275504.7904401,0.6300208647129414,56.19708346782452,70.9359904446817,14.738906976857187,960000.0,66.11466227392944,4.821328170752267,3.874231705325489,468.78425458654044,3.556055919432744,430.3267928426687,116659650.83926396,12231754.301479552,700.0,14.0,200.0,0.09,CSA,464.3
2028,Delayed action + gas flat,step_change,0.0,4800000.0,0.0,-0.0,0.0,-0.0,0.0,0.13,1.1641532182693481e-10,895999.9999999999,613380074.2869152,0.0,,66.70903391179783,,960000.0,65.6026823822981,1.106351529499733,,240.14157388586878,,240.14157388586878,0.0,0.0,1800.0,12.0,31.6,0.13,CSA,667.5
2030,Delayed action + gas flat,step_change,0.7170237047685591,959762.08360255,2431907.465317013,398.29018679325964,398.29018679325964,155.48660715736634,155.48660715736634,0.13,716844.4110608574,179155.58893914265,885042608.4098487,0.9957384865235084,78.02140000213565,78.23345037299862,0.2120503708629684,960000.0,72.92480858163019,5.30864179136843,5.431573080351724,484.27804678654655,5.430945513728317,484.21076058491315,81645288.46447247,424248.09222442016,1440.0,12.0,43.0,0.13,CSA,278.6
2033,Delayed action + gas flat,step_change,0.7260703866540005,925652.100373449,2453508.2943965057,428.23860077628154,29.948413983021908,308.82171217412895,153.3351050167626,0.09,723211.6079302896,172788.39206971048,1133508566.8665493,0.9343284495305852,83.86800729735637,85.40732527349064,1.5393179761342708,960000.0,74.28605373530893,11.121271538181716,5.7651650273990676,516.3193585144802,5.569908067910764,495.2202761431314,85254105.9667924,736457.5345169811,1100.0,12.0,60.1,0.09,CSA,532.2
2037,Delayed action + gas flat,step_change,0.7937264003539268,678321.8574712593,2610135.117319176,686.7659528091009,258.52735203281935,5229.139153096273,4920.317440922144,0.09,769379.9199386983,126620.08006130172,1304669313.2949605,0.6198007354245925,70.0650241139473,84.81131581188745,14.746291697940151,960000.0,75.75177870749418,9.059537104393272,6.214511451607843,521.8651145225735,5.965465098837236,493.43602759224063,109326752.05893828,10754838.934945337,850.0,12.0,82.9,0.09,CSA,326.4
2040,Delayed action + gas flat,step_change,0.8519250894077599,475948.38208732137,2738292.1680755615,686.7659528091009,0.0,6474.711932375992,1245.5727792797188,0.09,807156.3020103667,88843.6979896333,657262793.9802315,0.6502328129755193,55.3492134834607,70.61583096674555,15.266617483284847,960000.0,65.81456874915104,4.8012622175945125,3.8309203894995827,455.3658194588825,3.5330960912103144,419.88365853299604,109326752.05893828,13290980.823074633,700.0,12.0,100.0,0.09,CSA,560.6
